text,cue_pos,experiencer_pos
CNN’s King Primes Dem Voters: It’s Not ‘Impossible’ for Far-Left Candidate to Win 2020,Primes Dem Voter,CNN
Morehouse commencement speaker promises to pay off student loans for entire graduating class,promises,Morehouse
Lawsuit Seeks Class Action Status for Students Whose Due Process Rights Were Violated During Title IX Investigations,Violated,Lawsuit Seeks
World leaders have 'a lot to answer for' over damning figures on education,damning,World leaders
Top Iran Commander Invokes 9/11 To Say US Is “Frail”; A “Full Intelligence War” Is On,Invokes,
Here’s a List of Meghan Markle’s Baby’s Potential Godparents and What They Could Bring to the Table,Potential,
Sweden Could Reopen Rape Investigation of Julian Assange; U.K. Urged to Prioritize Swedish Case Over Extradition to U.S.,Rape,Sweden
"Joy Behar: Republicans Aren't Patriotic; They're Disrespectful to Veterans, Lock Up Children!",Disrespectful,Joy Behar
"TIME Picks Christine Blasey Ford as 'Influential,' Kamala Harris Pens Puff Piece",Influential,Christine Blasey
‘Shell on Challenge’: The Viral Hoax Fooling Local News Into Thinking Teens Are Eating Plastic for Fun,Hoax,
"Depression is on the rise among millennials, but 20% of them don't seek treatment — and it's likely because they can't afford it",Depression,millennials
Ross Perot donated to Trump’s re-election campaign before death: report,donated,Ross Perot
Trump’s sanctions on Iran are hitting Hezbollah hard,sanctions,Trump
"Hezbollah Isn’t Just in Beirut. It’s in New York, Too.",,Hezbollah
"Polls reveal 2 ways Scotus decisions shape society, one positive, another not so much",positive,Scotus
The United States Is Notoriously Bad at Counting Civilian Casualties. Its Allies Are Even Worse.,Bad,The United States
Rep. Brindisi fires aide charged with paying 17-year-old prostitute,fires,Brindisi
Sri Lanka Arrests Father Of Suspected Easter Suicide Bombers,Arrests,Father
Hong Kong Launches Massive Resistance Against China,Massive Resistanc,
'Ma’amageddon': secret plans for Queen's nuclear address revealed,secret plans,Ma’amageddon
Trump to Congress: It’s None of Your Business if I Break the Law,Break,Trump
"Dolly Parton Donates $200,000 To Volunteer Firefighters",Donates,Dolly Parton
"NASA Is Offering $18,500 to Lie in Bed for 60 Days",Lie in Bed,NASA
"Before Trump criticized the urban poverty he uses to attack Democrats, he profited from it",criticized,Trump
"Police said he licked ice cream and put it back. Video, he claims, doesn’t show the whole story.",licked,Police
"Beer Industry Blames Tariffs for 40,000 Job Losses",Blames,Beer Industry
Short Circuit: A Roundup of Recent Federal Court Decisions,Short Circuit,
Sen. Kennedy Calls The Squad 'The Four Horsewomen Of The Apocalypse',Squad,Sen. Kennedy
"Stateless in Africa: Why 700,000 have their 'dreams ended'",'dreams ended,Stateless in Africa
McCarthy Slams Dems for Passing Minimum Wage Bill,Slams,McCarthy
Opioid Users Call Kratom a Godsend. The F.D.A. Says It’s a Menace.,Menace,Opioid Users
Fascinating NYT essay on a man’s journey on guns,Fascinating,NYT
POLITICO Playbook: How will Trump’s race drumbeat play in 2020,POLITICO,
"Boy, 14, is airlifted to hospital after a TREE falls on him while he walks into school",TREE falls on him,Boy
Move Over Coffee Cup. Fans Think Jaime Lannister Grows His Right Hand Back in This Game of Thrones,Fans,
Zion Williamson and the N.B.A. Draftees Usher in a New Era of Basketball,New Era,
"Amid Trump’s Attacks, Planned Parenthood Broadens Health Care Focus",Attacks,Trump’s
Judge Agrees To Release Coast Guard Officer Accused Of Plotting Terror Attack,Terror,Judge
White supremacy must be undone — institution by institution,undone,
Feltham YOI: 13 prison guards hospitalised after teenage inmates riot,hospitalised,prison guards
Pelosi Sounds Alarm Over Trump Impeachment; 'Villainous' Trump Throws Fuel On The Fire,Villainous,Pelosi
FNC's Wallace: Trump Is Calling People of Color 'Vermin' -- 'It Sounds Subhuman',Vermin,Trump
Inside Iran: Iranians on Trump and the nuclear deal,nuclear deal,Iranians
Dozens of rockets launched into Israel,rockets launched,Israel
Geraint Thomas taken to hospital after heavy crash at Tour de Suisse,heavy crash,Geraint Thomas
Carolyn Hax: Husband’s abusive mom isn’t the only one who owes him an apology,abusive,Carolyn Hax
Suspects in killing of off-duty LAPD officer identified,killing,
"Trump Doubles Down On ‘Go Back’ Attack: ‘If You Don’t Like It' Here, 'You Can Leave’",Attack,Trump
ProPublica Illinois and ProPublica Earn Three NABJ Salute to Excellence Awards Nominations,Salute to Excellence Awards Nominations,ProPublica
"Teens are spending more on video games than ever before, and it's at least partially thanks to 'Fortnite'",spending,
"Economists conclude that people are willing to put up with pay cuts, after all",willing to put up with pay,Economists
Gottheimer (D) Faces Progressive Backlash Over Border Vote,Progressive Backlash,
John Bolton Says Iran Doesn’t Own A ‘Hunting License In The Middle East’,Doesn’t Own,John Bolton
House Republicans Ask Democrats to Help Force Vote on Protecting Lives of Babies Born After Abortion,Protecting,House Republicans
Hundreds Of Students Give Final Wave Goodbye To Grandmother Who Waved To Them Every Morning,Goodbye,Hundreds Of Students
Duterte threatens 'suicide mission' if Beijing oversteps in South China Sea,suicide mission,Duterte
Ohio State officials failed to act as doctor abused 177 athletes over nearly two decades,abused,officials
White House hosts social media summit without social media companies,House,
White cop cleared in fatal shooting of black teenager,cleared,White cop
OH NOEZ! Alyssa Milano just totally doomed Amy McGrath’s entire campaign and all it took was ONE WORD,doomed,Alyssa Milano
"'For real': High school football season begins this week with expectations, excitement",excitement,High school football
Trump Attempted to Suppress State Dept. Analyst’s Testimony on Climate Crisis,Suppress,Trump
NASA says India’s anti-satellite strike endangered the International Space Station,strike,NASA
Kevin Spacey questioned by London police over UK sex assault claims,questioned,Kevin Spacey
"If Trump Had Any Sense Whatsoever, He Would Not Be Raising Tariffs After This Jobs Report",Any Sense,Trump
57 Dead In Series Of Brazil Prison Riots. More Than 40 Reportedly Showed Signs Of Asphyxiation,Dead,
"11 killed, 6 injured in Virginia Beach shooting","11 killed, 6 injured",
What it's like being a woman in media,like,
The Reporter Who Wrote About Layoffs at the Cleveland Plain Dealer After He Was Laid Off,Layoffs,The Reporter
Van with $140m of drugs crashes into police car in Sydney,crashes,
Firefighter ran 18 miles on broken foot in London Marathon,ran 18 miles,Firefighter
"Former LSU DL, Hammond native Ed Alexander gets shot at NFL with Seattle Seahawks",shot,LSU DL
"As Ilhan Omar Said, Trump Is a Fascist — and His Rallies Prove It",Fascist,Ilhan Omar
The Coming-of-Age Tale That Inspired Mayor Pete to Learn Norwegian,Inspired,Mayor Pete
Senators To Consumer Watchdog: Prove You're Protecting Student Borrowers,Protecting,Senators
"Werner Herzog's New Film Is About an Old, Dead Friend",New,Werner Herzog's
Canada Responds to Philippines' War Threat with Offer to Take Back Garbage,Threat,Canada
Bryce Harper Bats Down Frosty DC Homecoming With Home Run,Bats Down,Bryce Harper
WOW! Trump Hauls In Whopping $25 Million on Launch Day For Re-Election Campaign,Whopping,Trump
HUD’s plan to remove shelter protections for transgender people would be ‘devastating’, would be ‘devastating’,HUD
Burning Russian plane makes emergency landing,emergency,Russian plane
Bill Clinton: 'Columbine has a special place in my heart',special,Bill Clinton
US Missiles Captured at Libyan Islamic Rebel Camp – Memories of Benghazi 9-11 Attack Resurface,Captured,
"Mexico, US to launch plan against arms smuggling at border",against,"Mexico, US"
"SWAC media day: Grambling's confidence, site of conference championship game, more",confidence,SWAC
Narendra Modi’s Election Challenge: Create Jobs. Lots of Them.,Create,Narendra Modi’s
Bernie Sanders’s reparations comments cause rift over DSA endorsement,rift,Bernie Sanders’s
"“Trump Wins!”: The President, the Mueller Report, and Our New Political Normal",Wins,The President
Pete Buttigieg shows how to campaign on values in the age of Trump,values,Pete Buttigieg
Hickenlooper: Give Illegal Immigrants 10-year Visas ‘Immediately’,Illegal Immigrants,
"In Town for Tel Aviv Pride, Neil Patrick Harris Says He’s No Gay Icon",Pride,Neil Patrick Harris
‘It’s a sexist and racist attack’: Trump’s regulation to weaken home health care unions takes effect,sexist and racist,
Getting Poorer While Working Harder: The “Cliff Effect”,Poorer,
De Blasio: The NYPD will investigate the new rape claim against Trump if a complaint is filed,rape,
Buffett urges Wells to look beyond Wall St for next chief,urges,Buffett
US declining interest in history presents risk to democracy,declining,
Lucy Flores Discusses Her Allegations Against Joe Biden,Discusses,Lucy Flores
R. Kelly protegee says she's ready to testify against him again as new alleged underage sex tape surfaces,testify,Kelly
Dramatic moment lifeguards take down ‘drunk and abusive’ beachgoer,Dramatic moment,lifeguards
"Beto O’Rourke wouldn’t get rid of just the existing border wall, but maybe the citizenship test too",but maybe the citizenship test too,Beto O’Rourke
"Revulsion in Northern Ireland over riot, fatal shooting",Revulsion,
Candace Owens Gives Devastating Opening Testimony At Congressional Hearing,Devastating,Candace Owens
"In Hong Kong, common sense keeps lives safe in a typhoon",keeps,
This High School's 'Political Radicalism' Class Lets Students Hear From Far-Right and Far-Left Speakers,Lets,
Trump: ‘Something strange is going on at Fox’,Something strange,Trump
North Korean Official Reportedly Purged Seen Back In Public Alongside Kim Jong Un,Purged,
People Are Absolutely Reeling From Those Two Brutal Moments on Game of Thrones,Brutal,People
Iranian man given death penalty for 2012 murder of American woman,murder,Iranian man
Oberlin Is Forced to Check Its Woke Privilege,Forced,Oberlin
3 Reasons Not to Worry About Trump’s Fourth of July—and 1 Big Reason to Worry,Worry,Trump’s
U.N. waters down resolution on sexual violence after threat of U.S. veto,waters down,U.N.
Venezuela's top court targets opposition lawmakers,opposition,Venezuela
Beyoncé makes black feminism accessible in her Coachella film ‘Homecoming’ — building on the education she’s delivered for years,accessible,Beyoncé
Liberal Entrepreneur Gary Vee Scared of ‘Massive Entitlement’ Ideas,Scared,Liberal Entrepreneur Gary Vee
Efforts to make buildings greener are not working,not working,
Donald Trump Tells the Truth Today,Truth,Donald Trump
Trump’s ‘Madman Theory’ of Trade with China,,Trump
"US woman kidnapped on Ugandan safari: kidnappers demand $500,000",kidnapped,US woman
Government data are ever more important to economic research,research,Government
Teens Teach Boy With Autism How To Skate On His Birthday,Teach,Teens
"Russia: Militants in Syria launch attack, have toxic agents",launch attack,Russia
Colt Data Centre Services Announces Its Expansion in Frankfurt,Announces,Colt Data Centre Services
Trump and Barr Could Stretch Executive Privilege and Grand Jury Secrecy Claims,Could Stretch,Trump and Barr
Denver hospital saw three times more marijuana-related ER visits after legalization,saw,
Quinnipiac Poll: 61% Oppose Trump Impeachment,Impeachment,Trump
Lead in Topsoil Produces Kids With Cognitive Problems,Problems,
Rod Rosenstein just made a huge mistake in his resignation letter,mistake,Rod Rosenstein
6 Gun Lies (And One Truth) Obama Told In Brazil,,
"ICE Opens Transgender Housing Unit for Illegals – Teaches Self-Grooming, Provides Hormone Therapy on Taxpayer Dime",Opens,ICE
Five ways to care for your scalp,care,
Florida trooper had sex with 14-year-old girl in the back of his car: authorities,trooper had sex with 14-year-old girl,Florida
"George Kelling, Father of 'Broken Windows' Policing, Dies",Dies,George Kelling
Britain’s Tories Bravely Put Party Before Country,Party,Britain’s Tories
"Trump Slams India’s Tariffs On American Products, Says Country Has Been Having A ‘Field Day’",Slams,Trump
The Latest: Prosecutors want cruise ship captain arrested,arrested,Prosecutors
Twitter Bans ‘Dehumanizing Language’ Against Religions,Bans,Twitter
‘American Taliban’ to be released from prison Thursday,released,‘American Taliban’
TDS MELTDOWN: Mexican Trump Supporter Assaulted by Psychotic Androgynous Liberal in Post Office For Wearing MAGA Hat,Assaulted,TDS MELTDOWN
This billboard is being criticized for inciting violence against “the Squad”,criticized,
Sri Lanka attacks: CCTV shows suspected Sri Lanka church bomber,,Sri Lanka
New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness,electoral weakness,
"In the Future, No One Deserves an Oscar",Future,
Mad: The Hilariously Sly Magazine Hated By the Stiff Set,Hated,
Death Toll From New Zealand Mosque Shooting Rises To 51,Death,
"My dispiriting, infuriating – and illuminating – time as a political telemarketer",infuriating,
Man charged with killing 7 elderly women,killing,Man
Jeffrey Epstein in Court Today on Sex Trafficking Charges,Court,Jeffrey Epstein
